Timestamp,Product,Buy Depth,Sell Depth,Trades
36600,PEARLS,{9995:21;9998:1;10002:4},{10005:-21},[{timestamp:36500; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
36600,BANANAS,{4950:21;4951:1},{4957:-21},[{timestamp:36300; symbol:BANANAS; price:4951.0; quantity:1; buyer:; seller:}]
36700,PEARLS,{9995:30;10002:1},{10005:-30},[{timestamp:36500; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
36700,BANANAS,{4949:30;4954:11},{4956:-30},[{timestamp:36700; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
36800,PEARLS,{9995:26;9996:1;10002:1},{10004:-1;10005:-26},[{timestamp:36700; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
36800,BANANAS,{4950:27},{4953:-2;4957:-27},[{timestamp:36700; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:};{timestamp:36700; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
36900,PEARLS,{9995:29;9996:2},{10002:-3;10004:-2;10005:-29},[{timestamp:36800; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
36900,BANANAS,{4950:31},{4955:-3;4957:-31},[{timestamp:36700; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:};{timestamp:36700; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
37000,PEARLS,{9995:23;9998:4},{10005:-23},[{timestamp:36800; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
37000,BANANAS,{4950:23;4951:4;4953:2},{4957:-23},[{timestamp:36700; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:};{timestamp:36700; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
37100,PEARLS,{9995:23;9996:1},{10004:-1;10005:-23},[{timestamp:36800; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
37100,BANANAS,{4950:24;4955:1},{4957:-24},[{timestamp:36700; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:};{timestamp:36700; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
37200,PEARLS,{9995:22;9998:2},{10005:-22},[{timestamp:37200; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
37200,BANANAS,{4950:22;4951:3},{4957:-22},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37300,PEARLS,{9995:27;10002:5},{10005:-27},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:}]
37300,BANANAS,{4950:27},{4955:-7;4957:-27},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37400,PEARLS,{9995:22;9996:1},{10004:-1;10005:-22},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37400,BANANAS,{4949:22;4950:1},{4956:-23},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37500,PEARLS,{9995:29;9998:2;10002:1},{10005:-29},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37500,BANANAS,{4950:29;4951:2;4955:1},{4957:-29},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37600,PEARLS,{9995:24;9996:2},{10004:-2;10005:-24},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37600,BANANAS,{4950:26},{4957:-26},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37700,PEARLS,{9995:28;9996:1},{10004:-1;10005:-28},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37700,BANANAS,{4950:29;4955:1},{4957:-29},[{timestamp:37100; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37800,PEARLS,{9995:27;9996:2},{10004:-2;10005:-27},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37800,BANANAS,{4950:29},{4957:-29},[{timestamp:37700; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:}]
37900,PEARLS,{9995:27;9996:2},{10000:-3;10004:-2;10005:-27},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
37900,BANANAS,{4950:29},{4952:-2;4957:-29},[{timestamp:37900; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
38000,PEARLS,{9995:25},{10002:-5;10005:-25},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
38000,BANANAS,{4950:25},{4954:-5;4956:-25},[{timestamp:37900; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
38100,PEARLS,{9995:28},{10005:-28},[{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:7; buyer:; seller:};{timestamp:37300; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
38100,BANANAS,{4949:28},{4950:-1;4956:-28},[{timestamp:37900; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
38200,PEARLS,{9995:23},{9998:-2;10005:-23},[{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:}]
38200,BANANAS,{4949:23;4950:5},{4956:-23},[{timestamp:38100; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
38300,PEARLS,{9995:26;9996:1},{10004:-1;10005:-26},[{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:};{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
38300,BANANAS,{4948:26;4949:1},{4955:-27},[{timestamp:38100; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
38400,PEARLS,{9995:21;10002:1},{10005:-21},[{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:};{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
38400,BANANAS,{4948:21},{4949:-1;4955:-21},[{timestamp:38300; symbol:BANANAS; price:4949.0; quantity:1; buyer:; seller:}]
38500,PEARLS,{9995:23;9996:2;10002:1},{10004:-2;10005:-23},[{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:};{timestamp:38200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
38500,BANANAS,{4949:25;4954:1},{4955:-2;4956:-23},[{timestamp:38300; symbol:BANANAS; price:4949.0; quantity:1; buyer:; seller:}]
38600,PEARLS,{9995:27;10002:5},{10005:-27},[{timestamp:38500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
38600,BANANAS,{4948:27},{4955:-27},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
38700,PEARLS,{9995:29;9996:1},{10004:-1;10005:-29},[{timestamp:38600; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
38700,BANANAS,{4949:30},{4955:-1;4956:-29},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
38800,PEARLS,{9995:27},{10005:-27},[{timestamp:38600; symbol:PEARLS; price:10002.0; quantity:5; buyer:; seller:}]
38800,BANANAS,{4949:27},{4956:-27},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
38900,PEARLS,{9995:25;9996:1},{10004:-1;10005:-25},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
38900,BANANAS,{4950:26},{4955:-4;4956:-1;4957:-25},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39000,PEARLS,{9995:29},{10005:-29},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
39000,BANANAS,{4950:29},{4957:-29},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39100,PEARLS,{9995:29;9996:1},{10002:-10;10004:-1;10005:-29},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
39100,BANANAS,{4949:30},{4954:-10;4956:-30},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39200,PEARLS,{9995:24},{10005:-24},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
39200,BANANAS,{4949:24;4955:1},{4956:-24},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39300,PEARLS,{9995:26;9996:1;9998:3},{10004:-1;10005:-26},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
39300,BANANAS,{4949:27;4950:3},{4956:-27},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39400,PEARLS,{9995:27;9996:2},{10004:-2;10005:-27},[{timestamp:38900; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
39400,BANANAS,{4949:27;4950:2},{4956:-29},[{timestamp:38500; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
39500,PEARLS,{9995:20;9996:2},{10004:-2;10005:-20},[{timestamp:39400; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:}]
39500,BANANAS,{4950:22},{4957:-22},[{timestamp:39400; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
39600,PEARLS,{9995:22},{10005:-22},[{timestamp:39400; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:}]
39600,BANANAS,{4949:22},{4956:-22},[{timestamp:39400; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
39700,PEARLS,{9995:20},{10005:-20},[{timestamp:39600; symbol:PEARLS; price:10005.0; quantity:2; buyer:; seller:}]
39700,BANANAS,{4949:20},{4956:-20},[{timestamp:39400; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
39800,PEARLS,{9995:30;9996:1},{10002:-3;10004:-1;10005:-30},[{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:8; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:9995.0; quantity:2; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
39800,BANANAS,{4949:31},{4954:-3;4956:-31},[{timestamp:39700; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
39900,PEARLS,{9995:30;9996:2;9998:1},{10004:-2;10005:-30},[{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:8; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:9995.0; quantity:2; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
39900,BANANAS,{4949:32;4950:1},{4956:-32},[{timestamp:39700; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
40000,PEARLS,{9995:30;9996:1;9998:9},{10004:-1;10005:-30},[{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:8; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:9995.0; quantity:2; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
40000,BANANAS,{4949:31;4950:9;4953:5},{4955:-1;4956:-30},[{timestamp:39700; symbol:BANANAS; price:4956.0; quantity:1; buyer:; seller:}]
40100,PEARLS,{9995:27;10002:1},{10005:-27},[{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:8; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:9995.0; quantity:2; buyer:; seller:};{timestamp:39700; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
40100,BANANAS,{4949:27},{4956:-27},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40200,PEARLS,{9995:22;9996:1},{10002:-7;10004:-1;10005:-22},[{timestamp:40100; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
40200,BANANAS,{4949:23},{4954:-7;4956:-23},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40300,PEARLS,{9995:24;9996:1},{10000:-4;10004:-1;10005:-24},[{timestamp:40100; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
40300,BANANAS,{4949:25},{4955:-1;4956:-24},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40400,PEARLS,{9995:20;9996:1},{10002:-10;10004:-1;10005:-20},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40400,BANANAS,{4948:21},{4953:-10;4954:-1;4955:-20},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40500,PEARLS,{9995:24},{10005:-24},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40500,BANANAS,{4948:24},{4951:-2;4955:-24},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40600,PEARLS,{9995:24;9996:2},{9998:-7;10004:-2;10005:-24},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40600,BANANAS,{4947:24;4948:2},{4954:-26},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40700,PEARLS,{9995:24;9996:2},{10004:-2;10005:-24},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40700,BANANAS,{4948:26},{4955:-26},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40800,PEARLS,{9995:29},{10005:-29},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40800,BANANAS,{4948:29},{4955:-29},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
40900,PEARLS,{9995:22},{10005:-22},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
40900,BANANAS,{4948:22},{4955:-22},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
41000,PEARLS,{9995:22;9998:5},{10005:-22},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
41000,BANANAS,{4948:22;4949:5},{4951:-4;4955:-22},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
41100,PEARLS,{9995:22;9996:1},{10004:-1;10005:-22},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
41100,BANANAS,{4947:23},{4954:-23},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
41200,PEARLS,{9995:25;9996:1},{9998:-8;10004:-1;10005:-25},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
41200,BANANAS,{4947:26},{4954:-26},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
41300,PEARLS,{9995:20;9996:1},{10000:-6;10002:-2;10004:-1;10005:-20},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
41300,BANANAS,{4946:21},{4951:-2;4953:-21},[{timestamp:40000; symbol:BANANAS; price:4953.0; quantity:5; buyer:; seller:}]
41400,PEARLS,{9995:23},{10005:-23},[{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:40300; symbol:PEARLS; price:9996.0; quantity:5; buyer:; seller:}]
41400,BANANAS,{4947:22},{4950:-4;4954:-23},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
41500,PEARLS,{9995:30;9998:5},{10005:-30},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
41500,BANANAS,{4947:30;4948:6},{4954:-30},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
41600,PEARLS,{9995:27;9996:1},{9998:-5;10004:-1;10005:-27},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
41600,BANANAS,{4947:27;4948:1},{4954:-28},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
41700,PEARLS,{9995:20},{10005:-20},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
41700,BANANAS,{4947:20},{4954:-20},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
41800,PEARLS,{9995:28;9996:2},{10002:-3;10004:-2;10005:-28},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
41800,BANANAS,{4947:30},{4952:-3;4954:-30},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
41900,PEARLS,{9995:28;9996:2;9998:4},{10004:-2;10005:-28},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
41900,BANANAS,{4948:30;4949:4},{4955:-30},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42000,PEARLS,{9995:28;9996:2},{10004:-2;10005:-28},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
42000,BANANAS,{4948:30},{4955:-30},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42100,PEARLS,{9995:24},{10005:-24},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
42100,BANANAS,{4948:24},{4955:-24},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42200,PEARLS,{9995:26},{10002:-4;10005:-26},[{timestamp:41500; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
42200,BANANAS,{4948:26},{4953:-4;4955:-26},[{timestamp:41400; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42300,PEARLS,{9995:24;10000:4},{10005:-24},[{timestamp:42200; symbol:PEARLS; price:9995.0; quantity:2; buyer:; seller:}]
42300,BANANAS,{4948:24;4953:1},{4955:-24},[{timestamp:42200; symbol:BANANAS; price:4948.0; quantity:2; buyer:; seller:}]
42400,PEARLS,{9995:24;9996:1},{9998:-5;10004:-1;10005:-24},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42400,BANANAS,{4948:25},{4954:-1;4955:-24},[{timestamp:42300; symbol:BANANAS; price:4955.0; quantity:1; buyer:; seller:};{timestamp:42300; symbol:BANANAS; price:4953.0; quantity:1; buyer:; seller:}]
42500,PEARLS,{9995:22;9996:2},{10004:-2;10005:-22},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42500,BANANAS,{4948:23},{4954:-2;4955:-22},[{timestamp:42500; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
42600,PEARLS,{9995:25},{10002:-10;10005:-25},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42600,BANANAS,{4947:25},{4952:-10;4954:-25},[{timestamp:42500; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:};{timestamp:42500; symbol:BANANAS; price:4948.0; quantity:3; buyer:; seller:}]
42700,PEARLS,{9995:20;9996:2},{10004:-2;10005:-20},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42700,BANANAS,{4947:21},{4954:-22},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42800,PEARLS,{9995:23},{10005:-23},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42800,BANANAS,{4947:23},{4954:-23},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
42900,PEARLS,{9995:22},{10005:-22},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
42900,BANANAS,{4946:22},{4953:-22},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
43000,PEARLS,{9995:24;9996:1;10002:7},{10004:-1;10005:-24},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
43000,BANANAS,{4946:25},{4953:-25},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
43100,PEARLS,{9995:23;9996:2},{10002:-3;10004:-2;10005:-23},[{timestamp:42300; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
43100,BANANAS,{4946:25},{4951:-3;4952:-2;4953:-23},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
43200,PEARLS,{9995:27;9996:1},{10000:-1;10004:-1;10005:-27},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43200,BANANAS,{4946:28},{4953:-28},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
43300,PEARLS,{9995:20},{10005:-20},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43300,BANANAS,{4946:20},{4953:-20},[{timestamp:42700; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
43400,PEARLS,{9995:27;9996:2},{10002:-8;10004:-2;10005:-27},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43400,BANANAS,{4946:28},{4951:-8;4952:-2;4953:-27},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
43500,PEARLS,{9995:23;9996:1},{10002:-10;10004:-1;10005:-23},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43500,BANANAS,{4946:24},{4951:-10;4952:-1;4953:-23},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
43600,PEARLS,{9995:21},{10002:-1;10005:-21},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43600,BANANAS,{4945:21},{4950:-1;4952:-21},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
43700,PEARLS,{9995:26;9996:2},{10004:-2;10005:-26},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43700,BANANAS,{4945:26;4946:2},{4952:-28},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
43800,PEARLS,{9995:25},{9998:-1;10005:-25},[{timestamp:43200; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
43800,BANANAS,{4945:25},{4952:-25},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
43900,PEARLS,{9995:28},{10005:-28},[{timestamp:43800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
43900,BANANAS,{4945:28},{4952:-28},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
44000,PEARLS,{9995:25;9996:1;10002:4},{10004:-1;10005:-25},[{timestamp:43800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
44000,BANANAS,{4945:26},{4948:-6;4951:-26},[{timestamp:43400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
44100,PEARLS,{9995:28;9996:2},{10004:-2;10005:-28},[{timestamp:44000; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
44100,BANANAS,{4944:28;4945:1},{4951:-30},[{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44200,PEARLS,{9995:20;9996:2;9998:4},{10004:-2;10005:-20},[{timestamp:44100; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
44200,BANANAS,{4944:20;4945:6},{4951:-22},[{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44300,PEARLS,{9995:24;9996:1},{10004:-1;10005:-24},[{timestamp:44200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
44300,BANANAS,{4945:25},{4952:-25},[{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44400,PEARLS,{9995:29;9996:1},{10004:-1;10005:-29},[{timestamp:44200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
44400,BANANAS,{4945:30},{4952:-30},[{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44500,PEARLS,{9995:26;9996:1},{10004:-1;10005:-26},[{timestamp:44200; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:}]
44500,BANANAS,{4945:27},{4952:-27},[{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:};{timestamp:44100; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44600,PEARLS,{9995:23},{10005:-23},[{timestamp:44500; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
44600,BANANAS,{4945:23},{4952:-23},[{timestamp:44500; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44700,PEARLS,{9995:23;9996:1},{10002:-9;10004:-1;10005:-23},[{timestamp:44500; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
44700,BANANAS,{4944:23;4945:1},{4949:-9;4951:-24},[{timestamp:44500; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
44800,PEARLS,{9995:22;9996:2},{10002:-10;10004:-2;10005:-22},[{timestamp:44700; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
44800,BANANAS,{4944:22;4945:2},{4949:-10;4951:-24},[{timestamp:44700; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
